Name,200% Ult. Date in JP,200% Ultimate,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Ultimate Priority,Weakness to hit
Nina-Lanna,16-Jan-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2014.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2010.png",Available in GL,6-Mar-25,12-Oct-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,4-Jul-24,Orsterra,251,301,461,526,305,355,6-Mar-24,5.32,C,Yes,2806,3466,Power,9-Dec-21,D,9.2,ニーナラーナ,Scholar,Berecain,Chance Encounters,216,266,276,326,572,662,283,333,Leave it at U Lv9,"Dark, Tome"
Levina,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2015.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%2013.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2016.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2018.png",Available in GL,27-Mar-25,18-Apr-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,27-Mar-25,18-Apr-24,Orsterra,231,281,474,539,285,335,13-Mar-24,6.47,B,Never,2876,3536,Wealth,9-Jun-22,C,9.3,レヴィーナ,Scholar,Memoir,Traveler of Memories,281,331,256,306,522,612,303,353,Leave it at U Lv9,"Dagger, Tome, Wind"
Canary,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%2014.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2023.png",Available in GL,13-Mar-25,1-Aug-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,1-Aug-24,Orsterra,338,388,276,326,248,298,27-Mar-24,9.45,S+,Never,2872,3692,Wealth,1-Mar-23,C,9.4,カナリィ,Thief,Grandport,Sacred Blaze Guidance,328,393,265,285,342,422,470,535,U Lv10 Game Changer,"Dagger, Fire"
Lemaire,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%2012.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2024.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%2013.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2019.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2017.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2017.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2011.png",Available in GL,13-Feb-25,9-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,29-Aug-24,Orsterra,233,268,434,499,337,387,10-Apr-24,4.67,D,Yes,2771,3591,Fame,24-Nov-22,C,9.4,ルメール,Dancer,Theatropolis,Chance Encounters,230,280,235,285,489,559,387,452,Leave it at U Lv9,"Dark, Fan, Fire, Ice, Light, Lightning, Wind"
Alaune EX,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%2013.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%2014.png",Available in GL,27-Mar-25,19-Oct-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,27-Mar-25,19-Oct-23,Orsterra,211,261,404,469,360,410,24-Apr-24,8.63,S,Never,2906,3566,Power,1-Jan-23,A,9.7,アラウネEx,Dancer,Memoir,Traveler of Memories,201,251,316,366,577,667,293,343,U Lv10 before A1,"Fan, Ice"
Elrica,29-May-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2020.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2025.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2020.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2018.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2012.png",Available in JP,,22-Aug-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,22-Aug-24,Orsterra,333,383,227,277,251,301,24-Apr-24,8.24,A,Never,3232,4052,Power,1-Jan-23,B,9.6,エリカ,Warrior,Memoir,Traveler of Memories,429,494,338,403,346,416,285,305,A4 before U Lv10,"Dark, Light, Sword"
Ogen,8-May-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2016.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%2015.png",Available in GL,20-Mar-25,22-Jun-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,26-Sep-24,Orsterra,203,253,451,516,238,288,9-May-24,7.7,A,Yes,3210,4030,Fame,11-May-23,B,9.6,オーゲン,Apothecary,Atlasdam,Chance Encounters,345,395,332,382,398,468,241,291,U Lv10 before A1,"Axe, Ice"
Ditraina,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2016.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2019.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2013.png",Available in GL,20-Mar-25,22-Jun-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,1-Aug-24,Orsterra,341,391,474,539,305,355,5-Jun-24,7.65,A,Never,2726,3386,Power,1-Jun-23,B,9.6,ディトレイナ,Scholar,Valore,Sacred Blaze Guidance,221,271,246,296,550,640,273,323,A4 before U Lv10,"Dark, Light, Tome"
Sertet,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%2012.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2018.png",Available in GL,20-Feb-25,22-Jun-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,9-May-24,Orsterra,355,420,202,252,243,263,19-Jun-24,4.5,D,Yes,3082,3902,Power,8-Jun-23,D,9.2,セルテト,Hunter,Sufrataljah,Chance Encounters,422,487,213,263,456,536,345,395,A1 then U Lv10,"Bow, Wind"
Streibough,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2017.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2026.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%2016.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2021.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2019.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2014.png",Available in JP,,27-Jun-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,27-Jun-24,Kingdom of Lucrece (Live A Live),221,271,434,484,335,385,26-Jun-24,4.82,D,Never,2836,3656,Power,16-Mar-23,B,9.6,ストレイボウ,Scholar,Memoir,Live A Live Crossover Guidance,216,266,276,326,577,657,313,363,A4 before U Lv10,"Dark, Fire, Ice, Lightning, Tome, Wind"
Oersted,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2021.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2018.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%2013.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2027.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2020.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2015.png",Available in JP,,27-Jun-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,27-Jun-24,Kingdom of Lucrece (Live A Live),333,383,247,297,251,301,26-Jun-24,4.77,D,Never,3232,4052,Fame,16-Mar-23,D,9.2,オルステッド,Warrior,Memoir,Live A Live Crossover Guidance,424,474,353,403,316,386,270,320,Leave it at U Lv9,"Dark, Fire, Polearm, Staff, Sword, Wind"
S. Odio,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%2014.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2028.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2016.png",Available in JP,,4-Jul-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,4-Jul-24,Dominion of Hate (Live A Live),218,253,460,525,339,404,10-Jul-24,6,B,Never,2722,3462,Power,30-Mar-23,B,9.5,オディオ・S,Cleric,Memoir,Live A Live Crossover Guidance,226,276,282,332,525,605,341,391,A1 then U Lv10,"Dark, Fire, Staff"
O. Odio,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2022.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2017.png",Available in JP,,4-Jul-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,4-Jul-24,Dominion of Hate (Live A Live),353,403,227,277,236,286,10-Jul-24,8.36,S,Never,3092,3912,Fame,30-Mar-23,B,9.5,オディオ・O,Warrior,Memoir,Live A Live Crossover Guidance,469,534,323,388,331,401,290,325,Leave it at U Lv9,"Dark, Sword"
Signa,24-Oct-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%2014.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2029.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2020.png",Available in GL,30-Jan-25,28-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,24-Jul-25,3-Oct-24,Orsterra,262,297,402,467,342,392,24-Jul-24,9.61,S+,Never,2676,3496,Fame,28-Apr-23,S+,9.9,シグナ,Dancer,Memoir,Traveler of Memories,245,295,255,305,504,574,397,462,U Lv10 Game Changer,"Fan, Fire, Light"
Sazantos,24-Oct-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2023.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2030.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2021.png",Available in GL,30-Jan-25,28-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,17-Oct-24,Orsterra,268,318,287,337,216,266,24-Jul-24,8.78,S,Never,3112,3932,Power,28-Apr-23,B,9.6,サザントス,Warrior,Memoir,Traveler of Memories,424,489,328,393,471,541,290,325,Leave it at U Lv9,"Fire, Light, Sword"
Nivelle,27-Feb-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2018.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2022.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2031.png",Available in GL,13-Mar-25,31-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,13-Mar-25,31-Jan-24,Orsterra,281,331,484,549,295,343,7-Aug-24,8.27,A,Never,2761,3421,Power,31-Aug-23,B,9.6,ニヴェル,Scholar,Sheperd's Rock,Sacred Blaze Guidance,201,251,236,286,577,667,348,398,,"Fire, Lightning, Tome"
Isla,6-Mar-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2019.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2032.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2023.png",Available in GL,16-Jan-25,12-Oct-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,16-Jan-25,12-Oct-23,Orsterra,226,276,414,479,325,375,28-Aug-24,8.13,A,Never,2746,3406,Approval,12-Oct-23,A,9.7,アイラ,Scholar,Memoir,Traveler of Memories,211,261,281,331,582,672,363,413,,"Fire, Lightning, Tome"
Rique,6-Feb-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2019.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2021.png",Available in GL,15-May-25,15-Feb-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,15-May-25,15-Feb-24,Orsterra,241,276,350,400,305,355,11-Sep-24,6.89,B,Never,3090,3990,Wealth,15-Feb-24,B,9.5,リーク,Merchant,Memoir,Traveler of Memories,389,454,338,388,352,432,265,300,,"Polearm, Wind"
Kilns,23-Jan-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%2013.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2024.png",Available in GL,20-Mar-25,9-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,20-Mar-25,9-Nov-23,Orsterra,395,460,210,260,293,313,3-Oct-24,9.23,S+,Never,3372,4192,Power,9-Nov-23,A,9.7,キルン,Hunter,Memoir,Traveler of Memories,372,437,268,318,371,451,365,415,,Bow
Sail,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2024.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2025.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2018.png",Available in GL,16-Jan-25,22-Jun-23,⭐️⭐️⭐️⭐️⭐️,Unavailable,,,Solistia,323,,252,,251,,16-Jan-25,4.88,D,Never,3232,,Domination,22-Jun-23,C,9.3,セイル,Warrior,Memoir Logs,Free (Solistia),394,,343,,306,,275,,,"Dark, Lightning, Sword"
Partitio,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2020.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%2014.png",Available in GL,16-Jan-25,12-Oct-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,16-Jan-25,12-Oct-23,Solistia,246,281,235,285,290,340,16-Jan-25,8,A,Never,3400,4300,Opulence,12-Oct-23,B,9.5,パルテティオ,Merchant,Memoir Logs,Memoirs of Solistia,384,449,358,408,402,482,255,290,,"Bow, Polearm"
Temenos,21-Nov-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%2015.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2022.png",Available in GL,23-Jan-25,28-Oct-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,23-Jan-25,28-Oct-23,Solistia,258,293,410,475,399,464,23-Jan-25,6.55,B,Never,2712,3452,Domination,28-Oct-23,B,9.6,テメノス,Cleric,Memoir Logs,Memoirs of Solistia,261,311,297,347,460,540,296,346,,"Light, Staff"
Agnea,20-Mar-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%2015.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2022.png",Available in GL,23-Jan-25,28-Oct-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,23-Jan-25,28-Oct-23,Solistia,262,297,402,467,337,387,23-Jan-25,8,A,Never,2776,3596,Approval,28-Oct-23,B,9.6,アグネア,Dancer,Memoir Logs,Memoirs of Solistia,235,285,235,285,544,614,382,447,,"Fan, Wind"
Ochette,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%2015.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2025.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2021.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2017.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2026.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2023.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2023.png",Available in GL,30-Jan-25,20-Jul-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,30-Jan-25,9-Nov-23,Solistia,395,460,220,270,238,258,30-Jan-25,8.56,S,Never,2862,3682,Opulence,20-Jul-23,C,9.3,オーシュット,Hunter,Memoir Logs,Memoirs of Solistia,457,522,213,263,376,456,410,460,,"Axe, Bow, Light, Lightning, Polearm, Sword, Wind"
Neha,30-Jan-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%2016.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%2017.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2019.png",Available in GL,6-Feb-25,14-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,18-Jan-24,Solistia,262,297,417,482,337,387,6-Feb-25,6.22,B,Yes,2776,3596,Domination,14-Sep-23,A,9.7,ネーハ,Dancer,Memoir Logs,Chance Encounters,230,280,225,275,569,639,357,422,,"Dark, Fan, Ice"
Throné,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%2015.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2020.png",Available in GL,27-Feb-25,22-Jun-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,27-Feb-25,22-Nov-23,Solistia,318,368,281,331,233,283,27-Feb-25,7.56,A,Never,2792,3612,Approval,22-Jun-23,C,9.3,ソローネ,Thief,Memoir Logs,Memoirs of Solistia,388,453,260,280,327,407,500,565,,"Dagger, Dark"
Pirro,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%2016.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2021.png",Available in GL,6-Mar-25,6-Jul-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,6-Mar-25,7-Dec-23,Solistia,333,383,226,276,233,285,6-Mar-25,7.67,A,Never,2932,3752,Opulence,6-Jul-23,B,9.5,ピルロ,Thief,Memoir Logs,Memoirs of Solistia,444,509,270,290,362,442,405,470,,"Dagger, Dark"
Morffins,8-May-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2018.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%2018.png",Available in GL,13-Mar-25,17-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,13-Mar-25,18-Jan-24,Solistia,238,288,441,506,238,288,13-Mar-25,6.5,B,Yes,3220,4040,Approval,17-Aug-23,D,9.2,モーフィンス,Apothecary,Memoir Logs,Chance Encounters,295,345,352,402,458,528,231,281,,"Axe, Ice"
Grieg,30-Jan-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2026.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2033.png",Available in GL,20-Mar-25,3-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,20-Mar-25,4-Jan-24,Solistia,283,333,227,277,301,351,20-Mar-25,5.67,C,Yes,3402,4222,Domination,3-Aug-23,C,9.4,グリーグ,Warrior,Memoir Logs,Chance Encounters,424,489,383,448,296,366,225,260,,"Fire, Sword"
Ringabel,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2027.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2022.png",Available in GL,3-Apr-25,22-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,3-Apr-25,22-Nov-23,Luxendarc (BRAVELY DEFAULT),388,438,227,277,256,306,3-Apr-25,8.09,A,Never,3232,4052,Wealth,22-Nov-23,B,9.6,リングアベル,Warrior,Memoir,BRAVELY DEFAULT Crossover Guidance,434,499,348,413,296,366,235,270,,"Dark, Sword"
Gloria,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%2016.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%2019.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2024.png",Available in GL,3-Apr-25,22-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,3-Apr-25,22-Nov-23,Excillant (BRAVELY DEFAULT II),278,313,435,500,384,449,3-Apr-25,8.3,S,Never,2782,3522,Fame,22-Nov-23,S,9.8,グローリア,Cleric,Memoir,BRAVELY DEFAULT Crossover Guidance,231,281,302,352,460,540,271,321,,"Ice, Light, Staff"
Magnolia,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2022.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2027.png",Available in GL,17-Apr-25,7-Dec-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,17-Apr-25,7-Dec-23,Luxendarc (BRAVELY DEFAULT),281,316,240,290,270,320,17-Apr-25,8.91,S,Never,3360,4260,Power,7-Dec-23,B,9.6,マグノリア,Merchant,Memoir,BRAVELY DEFAULT Crossover Guidance,454,519,348,398,332,412,240,275,,"Lightning, Polearm"
Osvald,31-Oct-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2020.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2034.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%2020.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2028.png",Available in GL,24-Apr-25,18-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,24-Apr-25,18-Jan-24,Solistia,291,341,489,554,315,365,24-Apr-25,8.76,S,Never,2736,3396,Domination,18-Jan-24,A,9.7,オズバルド,Scholar,Memoir Logs,Memoirs of Solistia,211,261,266,316,592,682,238,288,,"Fire, Ice, Lightning, Tome"
Mirgardi,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%2017.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2019.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2035.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2024.png",Available in GL,1-May-25,21-Dec-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,1-May-25,21-Dec-23,Solistia,240,275,292,357,277,327,1-May-25,4.87,D,Never,2886,3706,Opulence,30-Jan-24,D,9.2,ミルガルディ,Dancer,Memoir Logs,Tourney,415,465,267,317,434,504,342,407,,"Axe, Fan, Fire, Wind"
Jane,30-Jan-25,Available in JP,Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2020.png,Available in GL,1-May-25,28-Mar-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,1-May-25,28-Mar-24,Solistia,278,328,271,336,258,308,1-May-25,7.11,A,Yes,3075,3895,Opulence,28-Mar-24,C,9.4,ジェイン,Apothecary,Memoir,Chance Encounters,420,470,352,402,408,478,271,321,,Axe
Shana,20-Feb-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2021.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2029.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2025.png",Available in GL,8-May-25,11-Apr-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,8-May-25,11-Apr-24,Orsterra,198,248,291,356,268,318,8-May-25,9.86,S+,Never,2930,3750,Fame,11-Apr-24,S+,10,シャナ,Apothecary,Memoir,Traveler of Memories,335,385,372,422,580,650,311,361,,"Axe, Lightning, Wind"
Hujheb,,Unavailable,Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%2016.png,Available in GL,22-May-25,1-Feb-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,22-May-25,1-Feb-24,Solistia,385,450,200,250,248,268,22-May-25,9.18,S+,Never,3232,4052,Domination,1-Feb-24,B,9.6,ヒュージブ,Hunter,Memoir Logs,Sacred Blaze Guidance,472,537,223,273,416,496,290,340,,Bow
Oskha,24-Oct-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2023.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2036.png",Available in GL,12-Jun-25,23-May-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,12-Jun-25,23-May-24,Orsterra,281,316,245,295,285,335,12-Jun-25,9.16,S,Never,3490,4390,Wealth,23-May-24,A,9.7,オスカ,Merchant,Memoir,Champion of Memories,394,459,353,403,412,492,225,260,,"Fire, Polearm"
Castti,14-Nov-24,Available in JP,Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2022.png,Available in GL,26-Jun-25,1-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,26-Jun-25,1-Jan-24,Solistia,238,288,271,336,303,353,26-Jun-25,8.84,S,Never,3080,3900,Approval,1-Jan-24,A,9.7,キャスティ,Apothecary,Memoir Logs,Memoirs of Solistia,435,485,377,427,388,458,246,296,,Axe
Hikari,9-Jan-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2028.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2024.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%2017.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2023.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%2017.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%2017.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2021.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%2018.png",Available in GL,26-Jun-25,1-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,26-Jun-25,1-Jan-24,Solistia,303,353,217,267,271,321,26-Jun-25,8.05,A,Never,3242,4062,Domination,1-Jan-24,B,9.6,ヒカリ,Warrior,Memoir Logs,Memoirs of Solistia,429,494,358,423,306,376,295,330,,"Axe, Bow, Dagger, Fan, Polearm, Staff, Sword, Tome"
Ophilia EX,19-Dec-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2022.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2037.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%2021.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2030.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2026.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2025.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2023.png",Available in GL,17-Jul-25,20-Jun-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,17-Jul-25,20-Jun-24,Orsterra,236,286,439,504,330,380,17-Jul-25,,,Never,2756,3416,Fame,20-Jun-24,B,9.6,オフィーリアEx,Scholar,Memoir,Final Fantasy IV Crossover Guidance,226,276,286,336,612,702,288,338,,"Dark, Fire, Ice, Light, Lightning, Tome, Wind"
Agnea EX,19-Dec-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%2018.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2026.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%2024.png",Available in GL,17-Jul-25,20-Jun-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,17-Jul-25,20-Jun-24,Solistia,305,370,400,450,233,253,17-Jul-25,,,Never,2872,3692,Fame,20-Jun-24,B,9.6,アグネアEx,Hunter,Memoir,Final Fantasy IV Crossover Guidance,432,497,213,263,386,466,340,390,,"Bow, Dark, Light"
